"MT_ID","Off_N","Fathers_N","Hybrid_Off_N","Hybrid_Father_N","Half_Sib_Off_N","Half_Sib_Father_N","Min_Dist","Max_Dist","Hybrid_Min","Hybrid_Max"
"UHA-0009","1","1","0","0","0","0","313.491852003713","313.491852003713","0","0"
"UHA-0010","27","11","1","1","8","0","35.1980490295443","644.875357093583","1","0"
"UHA-0012","20","13","3","3","7","0","43.4919758298184","675.193187791974","1","0"
"UHA-0013","3","3","1","1","1","0","226.894363018014","560.307984256704","0","0"
"UHA-0014","17","8","2","1","13","0","14.9590685740559","705.453533061191","0","0"
"UHA-0015","7","3","0","0","6","0","19.3495616125236","680.933007943558","0","0"
"UHA-0016","2","2","0","0","2","0","17.4189098382475","19.2782496310739","0","0"
"UHA-0257","19","6","1","1","4","0","8.55773770662482","233.403665380774","0","1"
"UHA-0260","25","8","3","2","6","0","12.1070215511337","384.48739177803","0","0"
"UHA-0261","10","4","0","0","1","0","12.1070215511337","51.1992694526717","0","0"
"UHA-0351","8","4","1","1","5","0","12.8643209565563","317.432153808082","0","0"
